Algorithm,Array Size,Comparisons,Swaps
InsertionSort,8,17,18
QuickSort,8,7,12
HybridSort,8,17,19
InsertionSort,9,22,24
QuickSort,9,6,12
HybridSort,9,22,25
InsertionSort,10,24,25
QuickSort,10,10,16
HybridSort,10,24,26
InsertionSort,11,40,42
QuickSort,11,12,19
HybridSort,11,25,29
InsertionSort,12,42,43
QuickSort,12,15,23
HybridSort,12,33,36
InsertionSort,13,51,53
QuickSort,13,19,28
HybridSort,13,30,32
InsertionSort,14,40,40
QuickSort,14,12,21
HybridSort,14,24,26
InsertionSort,15,59,60
QuickSort,15,16,25
HybridSort,15,32,34
InsertionSort,16,68,69
QuickSort,16,15,24
HybridSort,16,30,32
InsertionSort,17,63,65
QuickSort,17,26,36
HybridSort,17,51,55
InsertionSort,18,82,84
QuickSort,18,29,41
HybridSort,18,49,53
InsertionSort,19,107,111
QuickSort,19,44,58
HybridSort,19,56,60
InsertionSort,20,105,106
QuickSort,20,23,35
HybridSort,20,51,55
InsertionSort,21,151,154
QuickSort,21,51,64
HybridSort,21,82,88
InsertionSort,22,139,142
QuickSort,22,72,86
HybridSort,22,88,93
InsertionSort,23,153,156
QuickSort,23,58,74
HybridSort,23,78,84
InsertionSort,24,158,160
QuickSort,24,35,51
HybridSort,24,65,68
InsertionSort,25,165,168
QuickSort,25,61,79
HybridSort,25,68,76
InsertionSort,26,162,165
QuickSort,26,67,85
HybridSort,26,103,110
InsertionSort,27,188,190
QuickSort,27,40,58
HybridSort,27,64,69
InsertionSort,28,214,218
QuickSort,28,77,95
HybridSort,28,122,129
InsertionSort,29,177,181
QuickSort,29,72,91
HybridSort,29,100,106
InsertionSort,30,259,262
QuickSort,30,54,73
HybridSort,30,108,112
InsertionSort,31,238,239
QuickSort,31,58,77
HybridSort,31,89,96
InsertionSort,32,304,306
QuickSort,32,98,120
HybridSort,32,120,127
